CurrentClinicName1,CurrentClinicCity,CurrentClinicState,TotNumCycles1,TotNumCycles2
ALABAMA FERTILITY SPECIALISTS,BIRMINGHAM,ALABAMA,58,19
ART FERTILITY PROGRAM OF ALABAMA,BIRMINGHAM,ALABAMA,208,104
UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,ALABAMA,121,52
CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,ALABAMA,186,58
UNIVERSITY OF SOUTH ALABAMA IVF AND ART PROGRAM,MOBILE,ALABAMA,21,11
NEW DIRECTION FERTILITY CENTERS,GILBERT,ARIZONA,458,195
TROCHÉ FERTILITY CENTERS,GLENDALE,ARIZONA,95,72
"ARIZONA REPRODUCTIVE MEDICINE SPECIALISTS, LLC",PHOENIX,ARIZONA,180,83
GONDRA CENTER FOR REPRODUCTIVE CARE & ADVANCED GYNECOLOGY,PHOENIX,ARIZONA,19,12
SOUTHWEST FERTILITY CENTER,PHOENIX,ARIZONA,72,40
"ADVANCED FERTILITY CARE, PLLC",SCOTTSDALE,ARIZONA,213,116
ARIZONA ASSOCIATES FOR REPRODUCTIVE HEALTH,SCOTTSDALE,ARIZONA,81,59
ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,ARIZONA,22,13
BLOOM REPRODUCTIVE INSTITUTE,SCOTTSDALE,ARIZONA,199,98
"BOSTON IVF, THE ARIZONA CENTER, LLC",SCOTTSDALE,ARIZONA,130,31
IVF PHOENIX,SCOTTSDALE,ARIZONA,51,43
"FERTILITY TREATMENT CENTER, PC",TEMPE,ARIZONA,156,131
ARIZONA CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,TUCSON,ARIZONA,109,48
ARIZONA REPRODUCTIVE INSTITUTE,TUCSON,ARIZONA,162,89
REPRODUCTIVE HEALTH CENTER,TUCSON,ARIZONA,109,49
ARKANSAS FERTILITY CENTER,LITTLE ROCK,ARKANSAS,204,48
LIFESTART FERTILITY CENTER,AGOURA HILLS,CALIFORNIA,9,4
ALTA BATES IN VITRO FERTILIZATION PROGRAM,BERKELEY,CALIFORNIA,12,21
CENTER FOR REPRODUCTIVE HEALTH & GYNECOLOGY,BEVERLY HILLS,CALIFORNIA,32,27
SOUTHERN CALIFORNIA REPRODUCTIVE CENTER,BEVERLY HILLS,CALIFORNIA,401,305
FERTILITY CARE OF ORANGE COUNTY,BREA,CALIFORNIA,116,74
CENTRAL CALIFORNIA IVF PROGRAM,CLOVIS,CALIFORNIA,152,60
CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,ENCINITAS,CALIFORNIA,40,23
HRC FERTILITY-ENCINO,ENCINO,CALIFORNIA,252,208
LOS ANGELES REPRODUCTIVE CENTER (LARC),ENCINO,CALIFORNIA,47,29
WESTERN FERTILITY INSTITUTE,ENCINO,CALIFORNIA,99,96
ZOUVES FERTILITY CENTER,FOSTER CITY,CALIFORNIA,189,193
WEST COAST FERTILITY CENTER,FOUNTAIN VALLEY,CALIFORNIA,50,49
XPERT FERTILITY CARE OF CALIFORNIA,FOUNTAIN VALLEY,CALIFORNIA,4,2
KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-FREMONT,FREMONT,CALIFORNIA,486,372
CARE FERTILITY,GLENDALE,CALIFORNIA,156,96
MARIN FERTILITY CENTER,GREENBRAE,CALIFORNIA,89,80
"COASTAL FERTILITY MEDICAL CENTER, INC.",IRVINE,CALIFORNIA,191,92
FERTILITY CENTER OF SOUTHERN CALIFORNIA,IRVINE,CALIFORNIA,74,48
LIFE IVF CENTER,IRVINE,CALIFORNIA,402,363
REPRODUCTIVE FERTILITY CENTER,IRVINE,CALIFORNIA,246,238
REPRODUCTIVE PARTNERS FERTILITY CENTER-SAN DIEGO,LA JOLLA,CALIFORNIA,199,205
LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA LINDA,CALIFORNIA,88,69
CALIFORNIA FERTILITY PARTNERS,LOS ANGELES,CALIFORNIA,244,246
CEDARS SINAI MEDICAL CENTER,LOS ANGELES,CALIFORNIA,44,37
CHA FERTILITY CENTER,LOS ANGELES,CALIFORNIA,31,53
CMD FERTILITY,LOS ANGELES,CALIFORNIA,37,62
PACIFIC FERTILITY CENTER-LOS ANGELES,LOS ANGELES,CALIFORNIA,51,74
UCLA FERTILITY CENTER,LOS ANGELES,CALIFORNIA,80,61
USC FERTILITY,LOS ANGELES,CALIFORNIA,216,225
CARE FOR THE BAY AREA,LOS GATOS,CALIFORNIA,106,66
INNOVATIVE FERTILITY CENTER,MANHATTAN BEACH,CALIFORNIA,27,37
CCRM SAN FRANCISCO,MENLO PARK,CALIFORNIA,7,21
THE FERTILITY AND GYNECOLOGY CENTER,MONTEREY,CALIFORNIA,47,24
NOVA IN VITRO FERTILIZATION,MOUNTAIN VIEW,CALIFORNIA,150,160
HRC FERTILITY-ORANGE COUNTY,NEWPORT BEACH,CALIFORNIA,674,405
NEWPORT FERTILITY CENTER,NEWPORT BEACH,CALIFORNIA,62,62
OC FERTILITY,NEWPORT BEACH,CALIFORNIA,103,66
SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,NEWPORT BEACH,CALIFORNIA,179,163
LANE FERTILITY INSTITUTE,NOVATO,CALIFORNIA,29,22
AMERICAN REPRODUCTIVE CENTERS,PALM SPRINGS,CALIFORNIA,76,68
BAY IVF CENTER,PALO ALTO,CALIFORNIA,72,57
HRC FERTILITY-PASADENA,PASADENA,CALIFORNIA,"1,110",715
"REPRODUCTIVE PARTNERS-BEVERLY HILLS, REDONDO BEACH & WESTMINSTER",REDONDO BEACH,CALIFORNIA,495,490
NORTHERN CALIFORNIA FERTILITY MEDICAL CENTER,ROSEVILLE,CALIFORNIA,342,201
CALIFORNIA IVF FERTILITY CENTER,SACRAMENTO,CALIFORNIA,194,143
KAISER PERMANENTE CENTER FOR REPRODUCTIVE HEALTH-SACRAMENTO,SACRAMENTO,CALIFORNIA,296,207
FERTILITY SPECIALISTS MEDICAL GROUP,SAN DIEGO,CALIFORNIA,213,126
HANABUSA IVF,SAN DIEGO,CALIFORNIA,25,53
NAVAL MEDICAL CENTER SAN DIEGO INFERTILITY CLINIC,SAN DIEGO,CALIFORNIA,148,70
REPRODUCTIVE SCIENCES MEDICAL CENTER,SAN DIEGO,CALIFORNIA,169,111
SAN DIEGO FERTILITY CENTER,SAN DIEGO,CALIFORNIA,586,458
LAUREL FERTILITY CARE,SAN FRANCISCO,CALIFORNIA,141,104
PACIFIC FERTILITY CENTER,SAN FRANCISCO,CALIFORNIA,502,438
SPRING FERTILITY,SAN FRANCISCO,CALIFORNIA,348,301
UCSF CENTER FOR REPRODUCTIVE HEALTH,SAN FRANCISCO,CALIFORNIA,603,722
PALO ALTO MEDICAL FOUNDATION FERTILITY PHYSICIANS OF NORTHERN CALIFORNIA,SAN JOSE,CALIFORNIA,294,267
REPRODUCTIVE SCIENCE CENTER OF THE SAN FRANCISCO BAY AREA,SAN RAMON,CALIFORNIA,745,637
SANTA BARBARA FERTILITY CENTER,SANTA BARBARA,CALIFORNIA,49,34
SANTA MONICA FERTILITY,SANTA MONICA,CALIFORNIA,26,26
"ADVANCED FERTILITY ASSOCIATES MEDICAL GROUP, INC.",SANTA ROSA,CALIFORNIA,54,43
"VALLEY CENTER FOR REPRODUCTIVE HEALTH, INC.",SHERMAN OAKS,CALIFORNIA,27,14
STANFORD MEDICINE FERTILITY & REPRODUCTIVE HEALTH,SUNNYVALE,CALIFORNIA,426,373
THE CENTER FOR FERTILITY AND GYNECOLOGY,TARZANA,CALIFORNIA,95,78
TREE OF LIFE CENTER FOR FERTILITY,TARZANA,CALIFORNIA,7,3
FERTILITY AND SURGICAL ASSOCIATES OF CALIFORNIA,THOUSAND OAKS,CALIFORNIA,304,270
PACIFIC REPRODUCTIVE CENTER,TORRANCE,CALIFORNIA,122,88
UNIVERSITY FERTILITY CENTER,TORRANCE,CALIFORNIA,98,56
CALIFORNIA CENTER FOR REPRODUCTIVE HEALTH,WEST HOLLYWOOD,CALIFORNIA,187,137
HQA FERTILITY CENTERS,COLORADO SPRINGS,COLORADO,202,89
ADVANCED REPRODUCTIVE MEDICINE,DENVER,COLORADO,169,63
COLORADO REPRODUCTIVE ENDOCRINOLOGY,DENVER,COLORADO,56,35
